filename,subject_id,finger_type,hand_side,gender,quality_score,is_duplicate,max_similarity,duplicate_count,stored,processing_time
1__M_Left_index_finger,1,index,left,M,0.8312702320371372,True,0.0,0,True,2025-08-07T17:58:47.798752
1__M_Left_little_finger,1,little,left,M,0.7491915498725961,True,0.0,0,True,2025-08-07T17:58:47.859121
1__M_Left_middle_finger,1,middle,left,M,0.8744485446041664,True,0.0,0,True,2025-08-07T17:58:47.918135
1__M_Left_ring_finger,1,ring,left,M,0.8283500243894124,True,0.0,0,True,2025-08-07T17:58:47.981456
1__M_Left_thumb_finger,1,thumb,left,M,0.9331625506842545,True,0.0,0,True,2025-08-07T17:58:48.060868
1__M_Right_index_finger,1,index,right,M,0.8539289288662977,True,0.0,0,True,2025-08-07T17:58:48.145694
1__M_Right_little_finger,1,little,right,M,0.7701600131285993,True,0.0,0,True,2025-08-07T17:58:48.221632
1__M_Right_middle_finger,1,middle,right,M,0.7886998292962384,True,0.0,0,True,2025-08-07T17:58:48.330299
1__M_Right_ring_finger,1,ring,right,M,0.8028225215375373,True,0.0,0,True,2025-08-07T17:58:48.430607
1__M_Right_thumb_finger,1,thumb,right,M,0.9134591498456486,True,0.0,0,True,2025-08-07T17:58:48.493286
10__M_Left_index_finger,10,index,left,M,0.8458973187248005,True,0.0,0,True,2025-08-07T17:58:48.552306
10__M_Left_little_finger,10,little,left,M,0.7828239734085058,True,0.0,0,True,2025-08-07T17:58:48.616666
10__M_Left_middle_finger,10,middle,left,M,0.9288812817810875,True,0.0,0,True,2025-08-07T17:58:48.708809
10__M_Left_ring_finger,10,ring,left,M,0.8772759352103324,True,0.0,0,True,2025-08-07T17:58:48.771420
10__M_Left_thumb_finger,10,thumb,left,M,0.9384582809298038,True,0.0,0,True,2025-08-07T17:58:48.839330
10__M_Right_index_finger,10,index,right,M,0.892457059418921,True,0.0,0,True,2025-08-07T17:58:48.896154
10__M_Right_little_finger,10,little,right,M,0.7653576164894614,True,0.0,0,True,2025-08-07T17:58:48.986866
10__M_Right_middle_finger,10,middle,right,M,0.9132086965330846,True,0.0,0,True,2025-08-07T17:58:49.064565
10__M_Right_ring_finger,10,ring,right,M,0.7495485994628618,True,0.0,0,True,2025-08-07T17:58:49.169299
10__M_Right_thumb_finger,10,thumb,right,M,0.9604508031432739,True,0.0,0,True,2025-08-07T17:58:49.234370
11__M_Left_index_finger,11,index,left,M,0.9444965365270896,True,0.0,0,True,2025-08-07T17:58:49.318646
11__M_Left_little_finger,11,little,left,M,0.8271343914790104,True,0.0,0,True,2025-08-07T17:58:49.376717
11__M_Left_middle_finger,11,middle,left,M,0.8155573641779525,True,0.0,0,True,2025-08-07T17:58:49.444954
11__M_Left_ring_finger,11,ring,left,M,0.8678050736602139,True,0.0,0,True,2025-08-07T17:58:49.515651
11__M_Left_thumb_finger,11,thumb,left,M,0.8648651773617071,True,0.0,0,True,2025-08-07T17:58:49.583731
11__M_Right_index_finger,11,index,right,M,0.9124179241602611,True,0.0,0,True,2025-08-07T17:58:49.640398
