filename,subject_id,finger_type,hand_side,gender,quality_score,is_duplicate,max_similarity,duplicate_count,stored,processing_time
1__M_Left_index_finger,1,index,left,M,0.8312702320371372,True,0.0,0,True,2025-08-07T16:44:50.014479
1__M_Left_little_finger,1,little,left,M,0.7491915498725961,True,0.0,0,True,2025-08-07T16:44:50.201577
1__M_Left_middle_finger,1,middle,left,M,0.8744485446041664,True,0.0,0,True,2025-08-07T16:44:50.460283
1__M_Left_ring_finger,1,ring,left,M,0.8283500243894124,True,0.0,0,True,2025-08-07T16:44:50.623395
1__M_Left_thumb_finger,1,thumb,left,M,0.9331625506842545,True,0.0,0,True,2025-08-07T16:44:50.836518
1__M_Right_index_finger,1,index,right,M,0.8539289288662977,True,0.0,0,True,2025-08-07T16:44:51.168217
1__M_Right_little_finger,1,little,right,M,0.7701600131285993,True,0.0,0,True,2025-08-07T16:44:51.419390
1__M_Right_middle_finger,1,middle,right,M,0.7886998292962384,True,0.0,0,True,2025-08-07T16:44:51.735093
1__M_Right_ring_finger,1,ring,right,M,0.8028225215375373,True,0.0,0,True,2025-08-07T16:44:52.060826
1__M_Right_thumb_finger,1,thumb,right,M,0.9134591498456486,True,0.0,0,True,2025-08-07T16:44:52.260955
10__M_Left_index_finger,10,index,left,M,0.8458973187248005,True,0.0,0,True,2025-08-07T16:44:52.457106
10__M_Left_little_finger,10,little,left,M,0.7828239734085058,True,0.0,0,True,2025-08-07T16:44:52.642262
10__M_Left_middle_finger,10,middle,left,M,0.9288812817810875,True,0.0,0,True,2025-08-07T16:44:52.887421
10__M_Left_ring_finger,10,ring,left,M,0.8772759352103324,True,0.0,0,True,2025-08-07T16:44:53.035574
10__M_Left_thumb_finger,10,thumb,left,M,0.9384582809298038,True,0.0,0,True,2025-08-07T16:44:53.220708
10__M_Right_index_finger,10,index,right,M,0.892457059418921,True,0.0,0,True,2025-08-07T16:44:53.380438
10__M_Right_little_finger,10,little,right,M,0.7653576164894614,True,0.0,0,True,2025-08-07T16:44:53.662407
10__M_Right_middle_finger,10,middle,right,M,0.9132086965330846,True,0.0,0,True,2025-08-07T16:44:53.862547
10__M_Right_ring_finger,10,ring,right,M,0.7495485994628618,True,0.0,0,True,2025-08-07T16:44:54.236464
