filename,subject_id,finger_type,hand_side,gender,quality_score,is_duplicate,max_similarity,duplicate_count,stored,processing_time
1__M_Left_index_finger,1,index,left,M,0.8312702320371372,False,0.0,0,True,2025-08-07T17:05:14.465669
1__M_Left_little_finger,1,little,left,M,0.7491915498725961,False,0.0,0,True,2025-08-07T17:05:14.601152
1__M_Left_middle_finger,1,middle,left,M,0.8744485446041664,False,0.0,0,True,2025-08-07T17:05:14.701333
1__M_Left_ring_finger,1,ring,left,M,0.8283500243894124,False,0.0,0,True,2025-08-07T17:05:14.767104
1__M_Left_thumb_finger,1,thumb,left,M,0.9331625506842545,False,0.0,0,True,2025-08-07T17:05:14.834665
1__M_Right_index_finger,1,index,right,M,0.8539289288662977,False,0.0,0,True,2025-08-07T17:05:14.921241
1__M_Right_little_finger,1,little,right,M,0.7701600131285993,False,0.0,0,True,2025-08-07T17:05:14.999917
1__M_Right_middle_finger,1,middle,right,M,0.7886998292962384,False,0.0,0,True,2025-08-07T17:05:15.122972
1__M_Right_ring_finger,1,ring,right,M,0.8028225215375373,False,0.0,0,True,2025-08-07T17:05:15.223872
1__M_Right_thumb_finger,1,thumb,right,M,0.9134591498456486,False,0.0,0,True,2025-08-07T17:05:15.310605
10__M_Left_index_finger,10,index,left,M,0.8458973187248005,False,0.0,0,True,2025-08-07T17:05:15.396260
10__M_Left_little_finger,10,little,left,M,0.7828239734085058,False,0.0,0,True,2025-08-07T17:05:15.503830
10__M_Left_middle_finger,10,middle,left,M,0.9288812817810875,False,0.0,0,True,2025-08-07T17:05:15.642787
10__M_Left_ring_finger,10,ring,left,M,0.8772759352103324,False,0.0,0,True,2025-08-07T17:05:15.708419
10__M_Left_thumb_finger,10,thumb,left,M,0.9384582809298038,False,0.0,0,True,2025-08-07T17:05:15.798048
10__M_Right_index_finger,10,index,right,M,0.892457059418921,False,0.0,0,True,2025-08-07T17:05:15.891030
10__M_Right_little_finger,10,little,right,M,0.7653576164894614,False,0.0,0,True,2025-08-07T17:05:16.058576
10__M_Right_middle_finger,10,middle,right,M,0.9132086965330846,False,0.0,0,True,2025-08-07T17:05:16.161358
10__M_Right_ring_finger,10,ring,right,M,0.7495485994628618,False,0.0,0,True,2025-08-07T17:05:16.279814
10__M_Right_thumb_finger,10,thumb,right,M,0.9604508031432739,False,0.0,0,True,2025-08-07T17:05:16.362081
11__M_Left_index_finger,11,index,left,M,0.9444965365270896,False,0.0,0,True,2025-08-07T17:05:16.451422
11__M_Left_little_finger,11,little,left,M,0.8271343914790104,False,0.0,0,True,2025-08-07T17:05:16.513595
11__M_Left_middle_finger,11,middle,left,M,0.8155573641779525,False,0.0,0,True,2025-08-07T17:05:16.611470
11__M_Left_ring_finger,11,ring,left,M,0.8678050736602139,False,0.0,0,True,2025-08-07T17:05:16.683213
11__M_Left_thumb_finger,11,thumb,left,M,0.8648651773617071,False,0.0,0,True,2025-08-07T17:05:16.782250
11__M_Right_index_finger,11,index,right,M,0.9124179241602611,False,0.0,0,True,2025-08-07T17:05:16.873725
11__M_Right_little_finger,11,little,right,M,0.8763964360540037,False,0.0,0,True,2025-08-07T17:05:17.008537
11__M_Right_middle_finger,11,middle,right,M,0.9049751227403845,False,0.0,0,True,2025-08-07T17:05:17.136820
11__M_Right_ring_finger,11,ring,right,M,0.9146846676876677,False,0.0,0,True,2025-08-07T17:05:17.248801
11__M_Right_thumb_finger,11,thumb,right,M,0.8561184313558696,False,0.0,0,True,2025-08-07T17:05:17.346738
12__M_Left_index_finger,12,index,left,M,0.7853156517230782,False,0.0,0,True,2025-08-07T17:05:17.623538
12__M_Left_little_finger,12,little,left,M,0.7570583840037415,False,0.0,0,True,2025-08-07T17:05:17.724142
12__M_Left_middle_finger,12,middle,left,M,0.797192675631,False,0.0,0,True,2025-08-07T17:05:17.814029
12__M_Left_ring_finger,12,ring,left,M,0.7778694641960929,False,0.0,0,True,2025-08-07T17:05:17.907537
12__M_Left_thumb_finger,12,thumb,left,M,0.8939096523995304,False,0.0,0,True,2025-08-07T17:05:17.979764
12__M_Right_index_finger,12,index,right,M,0.8133849170117096,False,0.0,0,True,2025-08-07T17:05:18.040863
12__M_Right_little_finger,12,little,right,M,0.8407422874374991,False,0.0,0,True,2025-08-07T17:05:18.153275
12__M_Right_middle_finger,12,middle,right,M,0.8276104321475217,False,0.0,0,True,2025-08-07T17:05:18.242250
12__M_Right_ring_finger,12,ring,right,M,0.8503329724401094,False,0.0,0,True,2025-08-07T17:05:18.310382
12__M_Right_thumb_finger,12,thumb,right,M,0.9018930986933924,False,0.0,0,True,2025-08-07T17:05:18.394910
13__F_Left_index_finger,13,index,left,F,0.8026644330108865,False,0.0,0,True,2025-08-07T17:05:18.496484
13__F_Left_little_finger,13,little,left,F,0.7360705769080987,False,0.0,0,True,2025-08-07T17:05:18.598491
13__F_Left_middle_finger,13,middle,left,F,0.8286499363224187,False,0.0,0,True,2025-08-07T17:05:18.714326
13__F_Left_ring_finger,13,ring,left,F,0.8236975363974324,False,0.0,0,True,2025-08-07T17:05:18.779924
